                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.68356,                0.54173,                 1.0278,                0.33004,                0.10444,                0.10524,                0.02596,                  3.115,                 5.2099,                 3.2084,             0.00056985,             0.00056985,             0.00056985
                    125,                0.69582,                0.53573,                 1.0285,                0.20697,                0.07747,                0.07408,                 0.0191,                 3.2018,                 5.0436,                 3.2979,             0.00056545,             0.00056545,             0.00056545
                    126,                 0.7038,                0.55671,                 1.0369,                0.15569,                0.06279,                 0.0636,                0.01956,                 3.2722,                   5.16,                   3.33,             0.00056105,             0.00056105,             0.00056105
                    127,                0.71481,                0.55782,                 1.0389,                0.09969,                0.07188,                0.03792,                0.01391,                 3.0071,                 5.1323,                 3.0757,             0.00055666,             0.00055666,             0.00055666
                    128,                0.68627,                0.53671,                 1.0327,                0.16218,                 0.0541,                0.04396,                0.00942,                 2.9647,                 5.8484,                 2.8624,             0.00055226,             0.00055226,             0.00055226
                    129,                0.70631,                0.56156,                 1.0383,                0.29502,                0.07108,                0.05874,                0.01778,                 3.0783,                 5.0743,                 3.1805,             0.00054786,             0.00054786,             0.00054786
                    130,                0.69116,                 0.5344,                 1.0207,                0.18443,                0.08132,                0.07294,                0.01729,                 3.1793,                 4.8338,                 3.5236,             0.00054346,             0.00054346,             0.00054346
                    131,                0.70104,                0.55615,                 1.0418,                0.16648,                0.06618,                 0.0617,                0.01042,                 3.2509,                 5.1546,                 3.4412,             0.00053906,             0.00053906,             0.00053906
                    132,                0.69615,                0.54633,                  1.015,                0.35564,                0.05505,                0.05157,                0.01133,                 3.1369,                 4.9897,                 3.2534,             0.00053466,             0.00053466,             0.00053466
                    133,                 0.6878,                 0.5355,                 1.0292,                0.05223,                0.03123,                0.03202,                0.01269,                 3.1234,                 5.0138,                  3.446,             0.00053026,             0.00053026,             0.00053026
                    134,                0.68615,                 0.5207,                 1.0244,                0.16463,                0.06423,                0.04656,                   0.01,                 3.2229,                 5.4921,                 3.3494,             0.00052586,             0.00052586,             0.00052586
                    135,                0.67927,                0.54227,                 1.0194,                0.09725,                 0.0578,                0.02629,                0.01068,                 3.3181,                 5.4025,                 3.4285,             0.00052146,             0.00052146,             0.00052146
                    136,                0.66599,                0.53303,                 1.0223,                0.22037,                0.07188,                 0.0612,                0.02239,                 3.1064,                 5.2802,                 3.3646,             0.00051706,             0.00051706,             0.00051706
                    137,                0.68345,                0.53444,                 1.0273,                0.14115,                0.07118,                0.06393,                0.02851,                 3.0972,                   5.09,                 3.3679,             0.00051266,             0.00051266,             0.00051266
                    138,                0.67699,                0.52101,                 1.0166,                0.07741,                0.05509,                0.04792,                0.01927,                 3.4307,                 4.6635,                   3.56,             0.00050826,             0.00050826,             0.00050826
                    139,                0.66704,                0.51664,                 1.0193,                0.10005,                0.05278,                0.02219,                0.01126,                 3.0608,                 4.9718,                 3.0913,             0.00050386,             0.00050386,             0.00050386
                    140,                0.66402,                0.52242,                  1.019,                0.12124,                0.07587,                0.05786,                0.03135,                 3.1149,                 4.9497,                 3.5296,             0.00049946,             0.00049946,             0.00049946
                    141,                 0.6777,                0.52181,                 1.0206,                0.03771,                0.06203,                0.01481,                0.00339,                 3.3299,                 5.0101,                 3.3864,             0.00049506,             0.00049506,             0.00049506
                    142,                0.68173,                0.51733,                 1.0187,                0.18989,                0.05844,                0.03685,                0.00933,                 3.3616,                 5.4332,                 3.4705,             0.00049066,             0.00049066,             0.00049066
                    143,                0.66279,                0.52651,                 1.0266,                0.08165,                0.05021,                0.02524,                0.01018,                 3.3485,                 5.4536,                 3.3234,             0.00048626,             0.00048626,             0.00048626
                    144,                0.66433,                0.51579,                 1.0167,                0.06328,                0.04057,                 0.0325,                  0.009,                 3.2489,                  5.475,                 3.2775,             0.00048186,             0.00048186,             0.00048186
                    145,                0.66946,                0.51605,                 1.0197,                0.19001,                0.07188,                0.04648,                0.01288,                 3.1305,                 5.4425,                 3.2616,             0.00047746,             0.00047746,             0.00047746
                    146,                0.65642,                0.51401,                 1.0019,                0.18065,                0.08947,                0.03744,                0.01056,                 3.3529,                 4.8457,                 3.5869,             0.00047306,             0.00047306,             0.00047306
                    147,                0.66253,                0.50395,                 1.0118,                0.13472,                0.09391,                0.04159,                0.01492,                 3.2724,                 5.2137,                  3.384,             0.00046866,             0.00046866,             0.00046866
